n is 1; c is 1; result is 1.0
n is 1; c is 0; result is 0.0
n is 1; c is 1; result is 1.0
n is 1; c is 0; result is 0.0
n is 1; c is 1; result is 1.0
n is 1; c is 0; result is 0.0
n is 1; c is 0; result is 0.0
n is 1; c is 1; result is 1.0
n is 1; c is 1; result is 1.0
n is 1; c is 1; result is 1.0
n is 1; c is 0; result is 0.0
n is 1; c is 1; result is 1.0
n is 1; c is 1; result is 1.0
n is 1; c is 1; result is 1.0
n is 1; c is 1; result is 1.0
n is 1; c is 0; result is 0.0
n is 1; c is 1; result is 1.0
n is 1; c is 0; result is 0.0
n is 1; c is 1; result is 1.0
n is 1; c is 0; result is 0.0
n is 1; c is 0; result is 0.0
n is 1; c is 1; result is 1.0
n is 1; c is 1; result is 1.0
n is 1; c is 1; result is 1.0
n is 1; c is 0; result is 0.0
n is 1; c is 1; result is 1.0
n is 1; c is 0; result is 0.0
n is 1; c is 1; result is 1.0
n is 1; c is 1; result is 1.0
n is 1; c is 1; result is 1.0
n is 1; c is 1; result is 1.0
n is 1; c is 1; result is 1.0
n is 1; c is 0; result is 0.0
n is 1; c is 0; result is 0.0
n is 1; c is 1; result is 1.0
n is 1; c is 1; result is 1.0
n is 1; c is 0; result is 0.0
n is 1; c is 0; result is 0.0
n is 1; c is 0; result is 0.0
n is 1; c is 0; result is 0.0
n is 1; c is 1; result is 1.0
n is 1; c is 0; result is 0.0
n is 1; c is 1; result is 1.0
n is 1; c is 1; result is 1.0
n is 1; c is 1; result is 1.0
n is 1; c is 1; result is 1.0
n is 1; c is 0; result is 0.0
n is 1; c is 1; result is 1.0
n is 1; c is 1; result is 1.0
n is 1; c is 1; result is 1.0
n is 1; c is 1; result is 1.0
n is 1; c is 1; result is 1.0
n is 1; c is 1; result is 1.0
n is 1; c is 1; result is 1.0
n is 1; c is 0; result is 0.0
n is 1; c is 1; result is 1.0
n is 1; c is 1; result is 1.0
n is 1; c is 1; result is 1.0
n is 1; c is 1; result is 1.0
n is 1; c is 1; result is 1.0
n is 1; c is 1; result is 1.0
n is 1; c is 1; result is 1.0
n is 1; c is 0; result is 0.0
n is 1; c is 1; result is 1.0
n is 1; c is 0; result is 0.0
n is 1; c is 1; result is 1.0
n is 1; c is 1; result is 1.0
n is 1; c is 0; result is 0.0
n is 1; c is 1; result is 1.0
n is 1; c is 0; result is 0.0
n is 1; c is 0; result is 0.0
n is 1; c is 0; result is 0.0
n is 1; c is 0; result is 0.0
n is 1; c is 0; result is 0.0
n is 1; c is 0; result is 0.0
n is 1; c is 0; result is 0.0
n is 1; c is 0; result is 0.0
n is 1; c is 0; result is 0.0
n is 1; c is 0; result is 0.0
n is 1; c is 1; result is 1.0
n is 1; c is 0; result is 0.0
n is 1; c is 0; result is 0.0
n is 1; c is 0; result is 0.0
n is 1; c is 0; result is 0.0
n is 1; c is 0; result is 0.0
n is 1; c is 0; result is 0.0
n is 1; c is 0; result is 0.0
n is 1; c is 0; result is 0.0
n is 1; c is 0; result is 0.0
n is 1; c is 1; result is 1.0
n is 1; c is 0; result is 0.0
n is 1; c is 0; result is 0.0
n is 1; c is 0; result is 0.0
n is 1; c is 0; result is 0.0
n is 1; c is 0; result is 0.0
n is 1; c is 0; result is 0.0
n is 1; c is 0; result is 0.0
n is 1; c is 0; result is 0.0
n is 1; c is 0; result is 0.0
n is 1; c is 0; result is 0.0
n is 1; c is 0; result is 0.0
n is 1; c is 0; result is 0.0
n is 1; c is 0; result is 0.0
n is 1; c is 0; result is 0.0
n is 1; c is 0; result is 0.0
n is 1; c is 0; result is 0.0
n is 1; c is 0; result is 0.0
n is 1; c is 0; result is 0.0
n is 1; c is 0; result is 0.0
n is 1; c is 0; result is 0.0
n is 1; c is 0; result is 0.0
n is 1; c is 0; result is 0.0
n is 1; c is 1; result is 1.0
n is 1; c is 0; result is 0.0
n is 1; c is 1; result is 1.0
n is 1; c is 0; result is 0.0
n is 1; c is 1; result is 1.0
n is 1; c is 0; result is 0.0
n is 1; c is 0; result is 0.0
n is 1; c is 0; result is 0.0
n is 1; c is 0; result is 0.0
n is 1; c is 0; result is 0.0
n is 1; c is 0; result is 0.0
n is 1; c is 0; result is 0.0
n is 1; c is 1; result is 1.0
n is 1; c is 0; result is 0.0
n is 1; c is 0; result is 0.0
n is 1; c is 0; result is 0.0
n is 1; c is 0; result is 0.0
n is 1; c is 0; result is 0.0
n is 1; c is 0; result is 0.0
n is 1; c is 0; result is 0.0
n is 1; c is 0; result is 0.0
n is 1; c is 0; result is 0.0
n is 1; c is 0; result is 0.0
n is 1; c is 0; result is 0.0
n is 1; c is 0; result is 0.0
n is 1; c is 0; result is 0.0
n is 1; c is 0; result is 0.0
n is 1; c is 0; result is 0.0
n is 1; c is 0; result is 0.0
n is 1; c is 0; result is 0.0
n is 1; c is 0; result is 0.0
n is 1; c is 0; result is 0.0
n is 1; c is 0; result is 0.0
n is 1; c is 0; result is 0.0
n is 1; c is 0; result is 0.0
n is 1; c is 0; result is 0.0
n is 1; c is 1; result is 1.0
n is 1; c is 0; result is 0.0
n is 1; c is 0; result is 0.0
n is 1; c is 0; result is 0.0
n is 1; c is 1; result is 1.0
n is 1; c is 0; result is 0.0
n is 1; c is 0; result is 0.0
n is 1; c is 0; result is 0.0
n is 1; c is 0; result is 0.0
n is 1; c is 1; result is 1.0
n is 1; c is 0; result is 0.0
n is 1; c is 1; result is 1.0
n is 1; c is 0; result is 0.0
n is 1; c is 0; result is 0.0
n is 1; c is 0; result is 0.0
n is 1; c is 0; result is 0.0
